from,to,from_type,to_type,volume
KXSWINGSTATES24DJT,KXSWINGSTATES24DJT-2,event,market,658334.0
KXBIDENPARDON-25JAN21B,KXBIDENPARDON-25JAN21B-BM,event,market,655316.0
KXPREEMPT-25,KXPREEMPT-25,event,market,652115.0
DEBATES24,DEBATES24-2,event,market,649145.0
SENATENE-24,SENATENE-24-R,event,market,642475.0
RHOUSESEATSSMALL-25,RHOUSESEATSSMALL-25-221,event,market,641747.0
KXSECHHS-26DEC31,KXSECHHS-26DEC31-BC,event,market,635968.0
CLOSESTSTATE-24,CLOSESTSTATE-24-NM,event,market,632391.0
KXBIDENPARDON-25JAN21B,KXBIDENPARDON-25JAN21B-DJT,event,market,631817.0
RSENATESEATS-25,RSENATESEATS-25-55,event,market,631025.0
SENATEMI-24,SENATEMI-24-D,event,market,620748.0
KXSECTREASURY-26DEC31,KXSECTREASURY-26DEC31-BH,event,market,619567.0
POPVOTEMOVNV-2024,POPVOTEMOVNV-2024-R-B-3.495,event,market,618226.0
KXVOTEHEGSETH-26,KXVOTEHEGSETH-26-MM,event,market,617409.0
POPVOTEMOVPA-24,POPVOTEMOVPA-24-R-B-0.745,event,market,607654.0
KXINAUG-25,KXINAUG-25-MO,event,market,601433.0
SENATEMI-24,SENATEMI-24-R,event,market,594601.0
KXVOTEPATEL-26,KXVOTEPATEL-26-SC,event,market,585934.0
KXINAUGVIEWS,KXINAUGVIEWS-33760000,event,market,581695.0
KXSECDEF-26DEC31,KXSECDEF-26DEC31-MW,event,market,580024.0
KXDJTJOINTSESSION-25MAR04,KXDJTJOINTSESSION-25MAR04-M,event,market,577417.0
KXSTATEFLIPKH-24-D,KXSTATEFLIPKH-24-D,event,market,574484.0
KXSWINGSTATES24DJT,KXSWINGSTATES24DJT-1,event,market,573360.0
KXSECTREASURY-26DEC31,KXSECTREASURY-26DEC31-MR,event,market,572730.0
KXVOTERFK-26,KXVOTERFK-26-BC,event,market,571065.0
SENATEWI-24,SENATEWI-24-D,event,market,568526.0
POPVOTEMOVPA-24,POPVOTEMOVPA-24-R-B-3.245,event,market,564331.0
POPVOTEMOVNC-24,POPVOTEMOVNC-24-R-B-3.495,event,market,553589.0
POPVOTEMOVGA-24,POPVOTEMOVGA-24-R-B-2.495,event,market,552167.0
PRESPARTYNM-24,PRESPARTYNM-24-R,event,market,549072.0
DEBATES24,DEBATES24-3,event,market,543271.0
KXSWINGSTATES24DJT,KXSWINGSTATES24DJT-3,event,market,539080.0
KXSWINGSWEEP24,KXSWINGSWEEP24,event,market,538948.0
CLOSESTSTATE-24,CLOSESTSTATE-24-TX,event,market,533967.0
KXSPEAKERVOTE-25,KXSPEAKERVOTE-25-1,event,market,530074.0
KXDJTJOINTSESSION-25MAR04,KXDJTJOINTSESSION-25MAR04-M3,event,market,528936.0
POPVOTEMOVWI-24,POPVOTEMOVWI-24-R-B-0.5,event,market,522129.0
PRESPARTYHI-24,PRESPARTYHI-24-R,event,market,521823.0
KXVOTEPATEL-26,KXVOTEPATEL-26-LM,event,market,520552.0
POPVOTEMOVSMALL-24,POPVOTEMOVSMALL-24-R-B3.1,event,market,513887.0
KXVOTERFK-26,KXVOTERFK-26-SC,event,market,512523.0
KXSECLABOR-26DEC31,KXSECLABOR-26DEC31-LCD,event,market,510887.0
POPVOTEMOVPA-24,POPVOTEMOVPA-24-D-B-0.25,event,market,509894.0
KXRUBIO-25JUL01,KXRUBIO-25JUL01-LT,event,market,508019.0
PRESPARTYNM-24,PRESPARTYNM-24-D,event,market,506033.0
